product_id,sale_date,sales_rep,region,sales_amount,quantity_sold,category,unit_cost,unit_price,customer_type,discount,payment_method,sales_channel,region_and_sales_rep,source,transaction_id,product_name,units_sold,total_revenue
1055.0,2023-12-01,Charlie,West,4102.47,8.0,Furniture,3513.0,3838.42,Returning,0.13,Bank Transfer,Online,West-Charlie,POS,,,,
1064.0,2023-05-14,Bob,South,5356.28,8.0,Electronics,4271.99,4417.79,Returning,0.04,Cash,Online,South-Bob,POS,,,,
1003.0,2023-04-28,Charlie,South,5991.8,27.0,Furniture,623.32,853.6600000000001,Returning,0.04,Cash,Online,South-Charlie,POS,,,,
1051.0,2023-04-04,Bob,East,198.25,12.0,Electronics,3544.48,3723.66,Returning,0.19,Cash,Online,East-Bob,POS,,,,
1007.0,2023-03-03,Eve,West,4694.54,1.0,Food,2543.26,2637.9100000000003,Returning,0.2,Credit Card,Online,West-Eve,POS,,,,
1021.0,2023-07-13,Bob,West,9638.64,43.0,Furniture,4154.3,4469.07,Returning,0.23,Cash,Retail,West-Bob,POS,,,,
1073.0,2023-12-01,David,West,5238.42,40.0,Furniture,2565.3,3007.4700000000003,Returning,0.17,Credit Card,Retail,West-David,POS,,,,
1039.0,2023-07-22,Alice,East,6807.67,42.0,Clothing,3120.19,3600.14,Returning,0.19,Credit Card,Retail,East-Alice,POS,,,,
1018.0,2023-01-26,Alice,East,3187.45,11.0,Clothing,2414.82,2519.07,Returning,0.0,Cash,Online,East-Alice,POS,,,,
1004.0,2023-06-22,Eve,South,7762.51,39.0,Electronics,2416.89,2778.4,Returning,0.05,Cash,Online,South-Eve,POS,,,,
1089.0,2023-10-27,David,North,7751.92,43.0,Furniture,3851.45,4186.98,Returning,0.3,Credit Card,Online,North-David,POS,,,,
1060.0,2023-05-13,Charlie,West,5260.83,31.0,Electronics,3161.4,3339.66,Returning,0.02,Bank Transfer,Online,West-Charlie,POS,,,,
1014.0,2023-11-22,David,West,9762.54,17.0,Food,3184.65,3204.01,New,0.2,Bank Transfer,Online,West-David,POS,,,,
1009.0,2023-04-28,Alice,North,1342.95,33.0,Clothing,2278.9,2626.9,New,0.05,Credit Card,Online,North-Alice,POS,,,,
1090.0,2023-11-20,Alice,West,267.78,32.0,Electronics,2678.99,3152.28,Returning,0.22,Cash,Retail,West-Alice,POS,,,,
1053.0,2023-10-02,David,East,7724.57,29.0,Electronics,3741.3,4061.04,Returning,0.21,Credit Card,Online,East-David,POS,,,,
1002.0,2023-07-31,David,East,8090.84,21.0,Clothing,4138.41,4361.7,Returning,0.07,Credit Card,Retail,East-David,POS,,,,
1084.0,2023-08-13,Alice,West,1290.05,21.0,Furniture,3497.98,3765.31,New,0.08,Cash,Online,West-Alice,POS,,,,
1092.0,2023-01-20,Charlie,East,2729.27,40.0,Electronics,4624.16,4731.98,New,0.2,Bank Transfer,Retail,East-Charlie,POS,,,,
1060.0,2023-04-23,Eve,East,273.77,23.0,Clothing,4110.6,4488.370000000001,New,0.12,Credit Card,Online,East-Eve,POS,,,,
1071.0,2023-05-20,Eve,West,3003.76,6.0,Furniture,2831.23,3206.98,Returning,0.06,Bank Transfer,Retail,West-Eve,POS,,,,
1044.0,2023-02-16,David,South,7754.1,22.0,Food,3373.46,3454.76,Returning,0.22,Bank Transfer,Retail,South-David,POS,,,,
1008.0,2023-01-01,Eve,North,5227.81,38.0,Clothing,4635.23,5075.44,Returning,0.05,Cash,Online,North-Eve,POS,,,,
1047.0,2023-03-31,Alice,East,3546.15,37.0,Electronics,3114.88,3256.78,Returning,0.26,Credit Card,Online,East-Alice,POS,,,,
1035.0,2023-05-22,Alice,South,3780.22,45.0,Food,4132.79,4624.1,New,0.15,Credit Card,Retail,South-Alice,POS,,,,
1078.0,2023-11-16,David,East,113.4,8.0,Furniture,3459.61,3657.23,Returning,0.03,Bank Transfer,Online,East-David,POS,,,,
1081.0,2023-02-07,David,East,3068.03,41.0,Furniture,2782.08,2879.24,New,0.21,Bank Transfer,Online,East-David,POS,,,,
1036.0,2023-10-20,David,North,6499.94,49.0,Clothing,1247.1,1429.4399999999998,New,0.16,Cash,Online,North-David,POS,,,,
1050.0,2023-05-19,Charlie,East,9744.52,35.0,Clothing,2158.69,2384.38,Returning,0.09,Bank Transfer,Retail,East-Charlie,POS,,,,
1004.0,2023-12-22,Eve,North,8485.9,11.0,Clothing,4840.33,4884.29,New,0.13,Cash,Online,North-Eve,POS,,,,
1002.0,2023-11-29,David,North,333.59,24.0,Furniture,3305.94,3599.27,New,0.09,Credit Card,Retail,North-David,POS,,,,
1006.0,2023-09-16,Bob,North,8995.75,49.0,Food,2843.76,3146.6000000000004,New,0.08,Cash,Retail,North-Bob,POS,,,,
1054.0,2023-06-10,Bob,South,7853.66,21.0,Furniture,4668.14,5040.22,New,0.05,Bank Transfer,Online,South-Bob,POS,,,,
1004.0,2023-06-27,Alice,West,7825.72,2.0,Electronics,2953.23,2977.52,Returning,0.11,Credit Card,Retail,West-Alice,POS,,,,
1054.0,2023-01-10,Eve,South,4634.16,40.0,Furniture,2654.11,2929.32,Returning,0.08,Cash,Online,South-Eve,POS,,,,
1093.0,2023-09-18,David,West,4040.25,19.0,Electronics,3808.59,3844.51,New,0.21,Credit Card,Online,West-David,POS,,,,
1063.0,2023-05-18,Bob,West,3098.87,39.0,Food,3577.69,3931.25,Returning,0.21,Cash,Retail,West-Bob,POS,,,,
1018.0,2023-06-21,Eve,North,750.38,28.0,Clothing,1006.14,1043.45,New,0.15,Bank Transfer,Retail,North-Eve,POS,,,,
1090.0,2023-01-13,Alice,East,2359.53,17.0,Clothing,2382.98,2839.73,Returning,0.23,Bank Transfer,Retail,East-Alice,POS,,,,
1044.0,2023-06-17,Charlie,North,2541.38,6.0,Furniture,2388.95,2742.97,Returning,0.25,Credit Card,Retail,North-Charlie,POS,,,,
1034.0,2023-05-10,Eve,East,4892.36,19.0,Clothing,1922.21,2180.83,Returning,0.17,Credit Card,Retail,East-Eve,POS,,,,
1074.0,2023-03-25,Eve,West,7499.7,38.0,Food,2610.6,2836.94,Returning,0.19,Credit Card,Online,West-Eve,POS,,,,
1062.0,2023-11-17,Charlie,North,4790.72,28.0,Clothing,2094.88,2168.9100000000003,Returning,0.08,Cash,Retail,North-Charlie,POS,,,,
1100.0,2023-11-15,Eve,East,672.66,2.0,Furniture,1036.76,1189.35,New,0.27,Bank Transfer,Online,East-Eve,POS,,,,
1014.0,2023-04-11,Alice,South,9582.12,38.0,Food,2091.21,2527.0,Returning,0.01,Credit Card,Online,South-Alice,POS,,,,
1095.0,2023-11-25,Alice,East,9432.97,37.0,Electronics,407.77,860.95,New,0.1,Credit Card,Retail,East-Alice,POS,,,,
1048.0,2023-09-30,Charlie,North,7873.38,4.0,Furniture,2900.14,2910.51,New,0.22,Credit Card,Retail,North-Charlie,POS,,,,
1015.0,2023-09-22,David,South,9914.15,22.0,Electronics,4275.59,4576.72,Returning,0.02,Cash,Retail,South-David,POS,,,,
1072.0,2023-02-07,Bob,East,5490.38,26.0,Food,3640.17,4002.63,New,0.05,Credit Card,Retail,East-Bob,POS,,,,
1078.0,2023-04-04,David,East,9631.41,49.0,Furniture,1833.95,2147.14,Returning,0.18,Credit Card,Retail,East-David,POS,,,,
1087.0,2023-04-05,Eve,East,848.49,43.0,Furniture,481.0,531.02,New,0.17,Cash,Online,East-Eve,POS,,,,
1062.0,2023-11-01,Bob,East,3720.24,36.0,Food,1050.64,1167.3300000000002,New,0.22,Cash,Online,East-Bob,POS,,,,
1040.0,2023-03-10,Charlie,East,2331.27,13.0,Clothing,2750.18,2882.85,Returning,0.24,Credit Card,Online,East-Charlie,POS,,,,
1085.0,2023-11-14,Charlie,South,2038.75,32.0,Furniture,1074.93,1492.48,Returning,0.04,Credit Card,Retail,South-Charlie,POS,,,,
1080.0,2023-08-24,Bob,West,1493.95,17.0,Furniture,2742.67,2979.64,Returning,0.01,Cash,Retail,West-Bob,POS,,,,
1082.0,2023-11-30,Alice,South,6261.9,41.0,Electronics,1196.42,1444.97,Returning,0.21,Bank Transfer,Online,South-Alice,POS,,,,
1053.0,2023-05-17,Bob,South,7835.09,36.0,Clothing,4252.17,4720.27,New,0.09,Cash,Retail,South-Bob,POS,,,,
1024.0,2023-03-17,Eve,South,5825.15,46.0,Electronics,2016.49,2338.66,Returning,0.19,Bank Transfer,Retail,South-Eve,POS,,,,
1026.0,2023-02-04,Alice,West,1554.93,19.0,Electronics,1265.48,1715.83,New,0.05,Credit Card,Retail,West-Alice,POS,,,,
1089.0,2023-01-01,Charlie,North,8130.13,35.0,Clothing,4071.01,4304.7,New,0.14,Credit Card,Online,North-Charlie,POS,,,,
1060.0,2023-10-23,Bob,West,6395.95,46.0,Clothing,1747.05,1830.27,New,0.15,Bank Transfer,Retail,West-Bob,POS,,,,
1041.0,2023-11-16,David,South,3942.84,40.0,Food,601.86,1067.53,New,0.18,Cash,Online,South-David,POS,,,,
1029.0,2023-03-01,David,East,6773.89,28.0,Clothing,2873.53,3108.3,New,0.15,Credit Card,Retail,East-David,POS,,,,
1015.0,2023-11-16,Eve,East,2673.06,1.0,Furniture,2928.74,3027.74,New,0.15,Bank Transfer,Retail,East-Eve,POS,,,,
1045.0,2023-12-15,David,South,3517.4,42.0,Clothing,3587.74,3745.91,Returning,0.1,Cash,Online,South-David,POS,,,,
1065.0,2023-11-24,Bob,East,9183.11,18.0,Food,1239.09,1273.98,New,0.02,Bank Transfer,Retail,East-Bob,POS,,,,
1089.0,2023-09-24,Bob,South,2975.99,48.0,Food,2246.67,2486.14,New,0.03,Cash,Retail,South-Bob,POS,,,,
1071.0,2023-12-27,David,East,4752.88,40.0,Food,1447.72,1875.75,New,0.13,Cash,Retail,East-David,POS,,,,
1009.0,2023-08-17,Bob,West,8912.4,33.0,Clothing,450.72,918.17,Returning,0.11,Cash,Online,West-Bob,POS,,,,
1088.0,2023-09-27,Eve,North,7106.44,12.0,Clothing,4389.24,4856.219999999999,Returning,0.15,Cash,Retail,North-Eve,POS,,,,
1001.0,2023-11-12,Alice,North,715.81,8.0,Electronics,3657.91,3729.27,New,0.09,Bank Transfer,Retail,North-Alice,POS,,,,
1008.0,2023-10-13,Eve,West,1558.3,24.0,Electronics,1542.24,1739.45,Returning,0.21,Bank Transfer,Retail,West-Eve,POS,,,,
1088.0,2023-10-18,Eve,West,177.63,16.0,Furniture,3016.9,3040.73,New,0.26,Bank Transfer,Retail,West-Eve,POS,,,,
1063.0,2023-08-01,Bob,South,6346.13,4.0,Electronics,1046.26,1475.29,Returning,0.09,Bank Transfer,Retail,South-Bob,POS,,,,
1011.0,2023-06-14,Alice,South,4531.97,38.0,Furniture,4456.67,4642.46,New,0.06,Bank Transfer,Online,South-Alice,POS,,,,
1081.0,2023-01-05,Bob,South,1429.32,44.0,Food,618.79,938.04,Returning,0.03,Cash,Online,South-Bob,POS,,,,
1008.0,2023-12-05,Charlie,East,9583.55,27.0,Electronics,68.99,429.29,Returning,0.18,Credit Card,Retail,East-Charlie,POS,,,,
1035.0,2023-03-19,Bob,South,5343.63,9.0,Clothing,2534.94,2755.56,Returning,0.13,Credit Card,Retail,South-Bob,POS,,,,
1035.0,2023-03-03,Bob,West,2494.74,47.0,Electronics,2936.48,3096.64,New,0.06,Bank Transfer,Online,West-Bob,POS,,,,
1033.0,2023-05-12,Bob,North,5055.98,16.0,Furniture,2915.88,3397.36,New,0.2,Bank Transfer,Retail,North-Bob,POS,,,,
1005.0,2023-03-30,Alice,East,6828.24,12.0,Electronics,319.83,802.4300000000001,New,0.04,Credit Card,Retail,East-Alice,POS,,,,
1041.0,2023-08-25,Bob,South,854.77,31.0,Food,1604.52,1756.34,Returning,0.17,Cash,Retail,South-Bob,POS,,,,
1028.0,2023-02-11,Alice,East,2819.57,24.0,Clothing,2521.03,2766.05,Returning,0.16,Bank Transfer,Retail,East-Alice,POS,,,,
1007.0,2023-03-30,David,East,8088.96,14.0,Furniture,1122.07,1608.76,New,0.22,Cash,Retail,East-David,POS,,,,
1073.0,2023-10-23,Charlie,South,4650.68,45.0,Clothing,4369.5,4381.89,Returning,0.02,Credit Card,Retail,South-Charlie,POS,,,,
1072.0,2023-11-24,Alice,East,5511.11,25.0,Clothing,481.19,693.4,New,0.27,Credit Card,Retail,East-Alice,POS,,,,
1012.0,2023-10-22,David,North,4384.88,34.0,Furniture,2462.55,2521.77,New,0.21,Bank Transfer,Retail,North-David,POS,,,,
1034.0,2023-04-14,Alice,West,534.61,3.0,Clothing,3472.51,3732.0,New,0.06,Cash,Online,West-Alice,POS,,,,
1033.0,2023-01-14,Alice,West,1740.92,24.0,Clothing,1345.67,1367.76,New,0.06,Bank Transfer,Online,West-Alice,POS,,,,
1048.0,2023-10-15,Charlie,North,4510.86,42.0,Electronics,3139.99,3349.37,Returning,0.13,Credit Card,Retail,North-Charlie,POS,,,,
1023.0,2023-06-28,Eve,East,2170.94,9.0,Clothing,4155.46,4273.6,Returning,0.25,Cash,Retail,East-Eve,POS,,,,
1062.0,2023-05-05,Eve,South,594.79,26.0,Clothing,992.17,1263.49,Returning,0.25,Bank Transfer,Retail,South-Eve,POS,,,,
1088.0,2023-12-19,Alice,East,8452.13,20.0,Clothing,4590.24,5088.28,New,0.16,Bank Transfer,Retail,East-Alice,POS,,,,
1037.0,2023-01-23,Bob,North,9813.81,40.0,Clothing,2790.11,3192.37,Returning,0.26,Bank Transfer,Online,North-Bob,POS,,,,
1099.0,2023-03-04,David,East,7952.11,10.0,Furniture,1531.2,1955.56,New,0.0,Credit Card,Online,East-David,POS,,,,
1044.0,2023-05-23,Bob,West,8552.47,19.0,Food,2182.75,2504.03,New,0.01,Bank Transfer,Online,West-Bob,POS,,,,
1086.0,2023-06-02,Bob,East,2495.57,3.0,Electronics,1595.35,1625.7099999999998,New,0.27,Cash,Online,East-Bob,POS,,,,
1091.0,2023-05-25,Alice,North,9610.21,24.0,Clothing,3639.3,3750.63,New,0.23,Bank Transfer,Retail,North-Alice,POS,,,,
1035.0,2023-08-13,Alice,West,2049.56,5.0,Clothing,3991.69,4454.97,New,0.14,Credit Card,Retail,West-Alice,POS,,,,
1065.0,2023-11-05,Alice,East,9519.16,3.0,Furniture,4173.04,4362.44,New,0.23,Bank Transfer,Retail,East-Alice,POS,,,,
1099.0,2023-04-14,Alice,East,9948.71,27.0,Food,4929.55,4990.33,Returning,0.29,Credit Card,Online,East-Alice,POS,,,,
1047.0,2023-04-14,Eve,West,7146.06,16.0,Clothing,3966.86,4321.04,Returning,0.23,Credit Card,Retail,West-Eve,POS,,,,
1078.0,2023-02-08,Alice,South,9813.32,49.0,Furniture,3026.85,3183.58,Returning,0.25,Cash,Retail,South-Alice,POS,,,,
1003.0,2023-07-17,Eve,West,5738.44,15.0,Electronics,1729.14,1870.88,Returning,0.23,Cash,Online,West-Eve,POS,,,,
1001.0,2023-05-14,Eve,South,2669.46,35.0,Electronics,2745.75,3244.76,New,0.05,Bank Transfer,Online,South-Eve,POS,,,,
1005.0,2023-03-08,Alice,North,4426.26,12.0,Clothing,253.29,683.78,New,0.25,Credit Card,Online,North-Alice,POS,,,,
1090.0,2023-06-28,Charlie,North,5976.25,41.0,Clothing,3736.88,3946.77,Returning,0.06,Credit Card,Online,North-Charlie,POS,,,,
1014.0,2023-02-11,David,West,823.51,44.0,Food,2257.48,2747.81,Returning,0.27,Cash,Online,West-David,POS,,,,
1027.0,2023-01-15,Bob,West,6261.2,26.0,Food,149.11,477.67,Returning,0.14,Cash,Retail,West-Bob,POS,,,,
1009.0,2023-04-21,Eve,North,9813.66,47.0,Clothing,359.41,733.0,Returning,0.2,Bank Transfer,Retail,North-Eve,POS,,,,
1079.0,2023-06-06,David,South,1982.07,34.0,Furniture,1967.96,1993.4,Returning,0.15,Credit Card,Online,South-David,POS,,,,
1015.0,2023-10-16,Charlie,North,7946.69,23.0,Food,2937.94,3007.53,Returning,0.03,Cash,Retail,North-Charlie,POS,,,,
1090.0,2023-08-19,Bob,West,9088.2,31.0,Clothing,2347.81,2668.02,Returning,0.09,Bank Transfer,Retail,West-Bob,POS,,,,
1042.0,2023-06-06,Bob,North,9442.65,20.0,Food,3115.06,3565.58,Returning,0.3,Credit Card,Retail,North-Bob,POS,,,,
1077.0,2023-02-07,Eve,West,9605.34,12.0,Clothing,2427.46,2743.09,New,0.29,Credit Card,Retail,West-Eve,POS,,,,
1051.0,2023-04-07,Alice,West,5262.45,23.0,Electronics,3325.43,3401.1,New,0.1,Cash,Online,West-Alice,POS,,,,
1063.0,2023-10-16,Charlie,North,9775.35,4.0,Clothing,1134.67,1201.39,New,0.3,Bank Transfer,Retail,North-Charlie,POS,,,,
1096.0,2023-09-11,Eve,South,7597.37,23.0,Electronics,608.57,1032.22,New,0.25,Cash,Retail,South-Eve,POS,,,,
1052.0,2023-07-15,Charlie,East,1700.55,48.0,Food,3002.35,3080.61,Returning,0.18,Bank Transfer,Retail,East-Charlie,POS,,,,
1096.0,2023-03-27,Alice,North,4821.31,48.0,Clothing,2449.21,2714.12,New,0.01,Credit Card,Online,North-Alice,POS,,,,
1004.0,2023-11-18,Alice,East,7211.48,1.0,Food,182.99,211.18,Returning,0.27,Bank Transfer,Retail,East-Alice,POS,,,,
1094.0,2023-01-10,Eve,North,2548.67,25.0,Electronics,1933.39,1982.92,New,0.17,Bank Transfer,Online,North-Eve,POS,,,,
1023.0,2023-01-05,Alice,East,6442.09,2.0,Clothing,575.32,914.77,Returning,0.26,Bank Transfer,Online,East-Alice,POS,,,,
1015.0,2023-05-03,David,South,6699.34,30.0,Food,2680.22,3027.92,Returning,0.25,Bank Transfer,Online,South-David,POS,,,,
1043.0,2023-11-26,Bob,South,1710.73,3.0,Electronics,2009.1,2186.42,New,0.25,Bank Transfer,Online,South-Bob,POS,,,,
1029.0,2023-12-19,Eve,North,5694.34,21.0,Food,3085.1,3200.75,New,0.21,Cash,Retail,North-Eve,POS,,,,
1036.0,2023-04-28,Charlie,West,7739.11,25.0,Furniture,4037.73,4446.45,Returning,0.09,Bank Transfer,Online,West-Charlie,POS,,,,
1013.0,2023-10-21,David,East,5039.07,20.0,Electronics,1533.36,1649.7399999999998,Returning,0.1,Bank Transfer,Online,East-David,POS,,,,
1032.0,2023-06-08,Eve,West,219.82,49.0,Electronics,4812.41,5088.0,Returning,0.09,Credit Card,Online,West-Eve,POS,,,,
1071.0,2023-10-30,Alice,West,189.48,22.0,Electronics,2701.39,3185.81,New,0.01,Bank Transfer,Online,West-Alice,POS,,,,
1059.0,2023-08-16,Alice,West,3634.59,21.0,Clothing,3110.54,3192.99,New,0.17,Credit Card,Online,West-Alice,POS,,,,
1086.0,2023-12-31,Alice,South,9269.32,33.0,Clothing,3419.33,3890.36,Returning,0.21,Cash,Retail,South-Alice,POS,,,,
1028.0,2023-08-04,Alice,North,2363.9,38.0,Clothing,3350.32,3449.94,New,0.26,Cash,Online,North-Alice,POS,,,,
1066.0,2023-07-03,Charlie,North,6380.2,15.0,Furniture,2579.31,2867.36,Returning,0.04,Bank Transfer,Retail,North-Charlie,POS,,,,
1042.0,2023-01-15,David,South,2298.55,46.0,Furniture,2172.38,2367.11,New,0.16,Cash,Retail,South-David,POS,,,,
1045.0,2023-06-06,Bob,South,3284.53,15.0,Electronics,316.22,799.04,New,0.0,Bank Transfer,Online,South-Bob,POS,,,,
1062.0,2023-05-16,Charlie,North,8495.62,46.0,Furniture,159.32,303.36,New,0.03,Cash,Retail,North-Charlie,POS,,,,
1057.0,2023-09-18,Charlie,West,7315.73,25.0,Food,1821.91,2027.74,New,0.02,Bank Transfer,Retail,West-Charlie,POS,,,,
1006.0,2023-06-06,Bob,East,1044.45,21.0,Electronics,1701.62,2193.22,New,0.22,Bank Transfer,Retail,East-Bob,POS,,,,
1028.0,2023-02-16,Bob,East,4344.15,24.0,Electronics,1969.09,2241.96,Returning,0.02,Credit Card,Online,East-Bob,POS,,,,
1028.0,2023-11-20,Alice,East,388.78,5.0,Food,734.92,991.21,Returning,0.21,Credit Card,Online,East-Alice,POS,,,,
1044.0,2023-11-28,Charlie,West,4860.81,6.0,Electronics,3703.93,3840.24,New,0.07,Credit Card,Online,West-Charlie,POS,,,,
1084.0,2023-06-22,Eve,North,6658.1,49.0,Furniture,4291.97,4645.64,Returning,0.26,Credit Card,Online,North-Eve,POS,,,,
1030.0,2023-05-10,Bob,South,1273.18,43.0,Clothing,4696.64,4713.68,Returning,0.24,Bank Transfer,Online,South-Bob,POS,,,,
1062.0,2023-04-05,Bob,North,2959.96,48.0,Food,2487.19,2521.4500000000003,New,0.29,Cash,Online,North-Bob,POS,,,,
1075.0,2023-04-25,David,West,4038.58,44.0,Furniture,3519.29,3822.98,Returning,0.27,Bank Transfer,Online,West-David,POS,,,,
1092.0,2023-08-31,Eve,South,9203.36,47.0,Food,4284.98,4462.4,New,0.28,Credit Card,Retail,South-Eve,POS,,,,
1089.0,2023-10-19,Eve,West,9933.22,23.0,Food,2120.54,2597.67,Returning,0.26,Credit Card,Retail,West-Eve,POS,,,,
1062.0,2023-10-09,Bob,East,544.62,4.0,Electronics,1581.59,2034.15,Returning,0.21,Cash,Online,East-Bob,POS,,,,
1097.0,2023-10-26,Alice,East,7633.98,27.0,Electronics,4686.79,5046.51,Returning,0.05,Credit Card,Retail,East-Alice,POS,,,,
1001.0,2023-10-10,David,West,3780.07,18.0,Furniture,2602.6,3013.49,Returning,0.08,Bank Transfer,Online,West-David,POS,,,,
1027.0,2023-03-10,Eve,South,3985.34,21.0,Food,2511.41,2848.4,Returning,0.06,Bank Transfer,Online,South-Eve,POS,,,,
